category_grouped,Total Revenue at Risk (R$),Avg per Order (R$),High-Risk Orders
other,648041.79,126.72,5114
computers_accessories,309912.51,134.28,2308
bed_bath_table,307877.09,76.24,4038
furniture_decor,264795.39,87.05,3042
housewares,152403.59,98.2,1552
sports_leisure,149498.65,86.57,1727
watches_gifts,123863.95,97.76,1267
health_beauty,112174.25,74.24,1511
garden_tools,109884.81,91.34,1203
auto,97227.45,125.13,777
baby,58053.94,101.67,571
cool_stuff,51604.59,98.11,526
telephony,51486.66,56.58,910
toys,40425.08,69.82,579
perfumery,34710.83,55.36,627
electronics,29820.39,50.8,587
